year,distance_from_previous_m,distance_km
2000,,
2010,1072.5191512321137,1.0725191512321137
2015,217.84251676551926,0.21784251676551927
2020,444.4980039396367,0.4444980039396367
2024,308.2077716411666,0.3082077716411666
